ods_type_activite|categorie|commune|siret|Nom|numero_inspection|geores|filtre|date_inspection|code_postal|evaluation|adresse|agrement|lat|lon
Autres|Restaurant|Paris 4e  Arrondissement|83983588100039|SO / PARIS|22-075596-1|[48.849979, 2.362374]|Restaurant|2022-09-09T02:00:00+02:00|75004|Très satisfaisant|10 RUE AGRIPPA D AUBIGNE||48.849979|2.362374
Autres|Restaurant|Ghisonaccia|75121014700037|CHIODI ROGER|22-068010-1|[42.004688, 9.432016]|Restaurant|2022-08-23T02:00:00+02:00|20240|Très satisfaisant|RTE DE LA MER||42.004688|9.432016
Autres|Restaurant|Paris 1er Arrondissement|88399300800019|AU PETIT PARIS|22-033387-1|[48.862734, 2.348461]|Restaurant|2022-05-09T02:00:00+02:00|75001|Satisfaisant|11 RUE PIERRE LESCOT||48.862734|2.348461
Autres|Restaurant|Amnéville|84758970200020|INTERM'AIDE|22-087184-1|[49.244034, 6.133666]|Restaurant|2022-11-02T01:00:00+01:00|57360|Très satisfaisant|RUE DU CASINO||49.244034|6.133666
Autres|Restaurant|Paris 19e  Arrondissement|49030750100018|YOU TEK HENG|23-008164-1|[48.887921, 2.373792]|Restaurant|2023-01-13T01:00:00+01:00|75019|Très satisfaisant|56 AVENUE DE FLANDRE||48.887921|2.373792
Autres|Restaurant|Paris 12e  Arrondissement|50154419100015|LA TETE A TOTO|22-018085-1|[48.848677, 2.392928]|Restaurant|2022-03-10T01:00:00+01:00|75012|Très satisfaisant|270 RUE DU FBG SAINT ANTOINE||48.848677|2.392928
Autres|Restaurant|Montreuil|81535678700029|C'MA PIZZA|22-096178-1|[48.857916, 2.427106]|Restaurant|2022-11-30T01:00:00+01:00|93100|Satisfaisant|5 RUE DU CENTENAIRE||48.857916|2.427106
Autres|Restauration collective|Vannes|21560260800147|ECOL MATE JACQUES PREVERT|22-033078-1|[47.648808, -2.772322]|Restauration collective|2022-05-06T02:00:00+02:00|56000|Très satisfaisant|PLACE CUXHAVEN||47.648808|-2.772322
Autres|Restaurant|Thionville|51821975300036|SARL PERCHISTE|22-061464-1|[49.356488, 6.111104]|Restaurant|2022-07-13T02:00:00+02:00|57100|Très satisfaisant|90 ROUTE DU BUCHEL||49.356488|6.111104
Autres|Restaurant|Houssen|82394460800012|SKY KITCHENS RESTAURATION|22-106079-1|[48.121346, 7.373755]|Restaurant|2023-01-17T01:00:00+01:00|68125|Satisfaisant|Rue du Rosenkranz||48.121346|7.373755
Autres|Restaurant|Lunéville|47843757700016|CHRISTEN ALBAN|22-030634-1|[48.590429, 6.499421]|Restaurant|2022-04-27T02:00:00+02:00|54300|Satisfaisant|54 RUE D ALSACE||48.590429|6.499421
Autres|Restaurant|Stiring-Wendel|91753512200019|LE BOSPHORE|22-068038-1|[49.194885, 6.921042]|Restaurant|2022-09-01T02:00:00+02:00|57350|Très satisfaisant|42 C RUE NATIONALE||49.194885|6.921042
Autres|Restauration collective|Saint-Tropez|41015167402113|DUPONT RESTAURATION|22-082476-1|[43.262008, 6.641615]|Restauration collective|2022-08-17T02:00:00+02:00|83990|Très satisfaisant|CHE DE STE ANNE||43.262008|6.641615
Autres|Restaurant|Paris 15e  Arrondissement|84919674600010|BZ FOOD|22-056209-1|[48.838325, 2.288106]|Restaurant|2022-07-20T02:00:00+02:00|75015|Satisfaisant|282 RUE LECOURBE||48.838325|2.288106
Autres|Restauration collective|Niort|34117411800750|KORIAN LA VENISE VERTE|22-086817-1|[46.320274, -0.47586599999999996]|Restauration collective|2022-10-25T02:00:00+02:00|79000|Satisfaisant|59 rue Jean de La Fontaine||46.320274|-0.4758659999999999
Autres|Restauration collective|Lubersac|26192923600105|ETABLISSEMENT PUBLIC DEPARTEMENTAL AUTONOME DU GLANDIER|22-018244-1|[45.440546, 1.397775]|Restauration collective|2022-03-10T01:00:00+01:00|19210|Très satisfaisant|3 rue des médailles militaire|19024001|45.440546|1.397775
Autres|Restaurant|Le Buisson-de-Cadouin|52377677100017|GALLET MATHE|22-019403-1|[44.805082, 0.8741700000000001]|Restaurant|2022-03-17T01:00:00+01:00|24480|Très satisfaisant|LES GAVATS||44.805082|0.8741700000000001
Autres|Restaurant|Paris 13e  Arrondissement|90210776200020|DAME AUGUSTINE|22-068062-1|[48.835726, 2.352286]|Restaurant|2022-09-01T02:00:00+02:00|75013|Satisfaisant|32 AV DES GOBELINS||48.835726|2.352286
Autres|Restauration collective|Sedan|78028773600018|ASSOCIATION OGEC DE SEDAN|22-047018-1|[49.700002, 4.930469]|Restauration collective|2022-06-21T02:00:00+02:00|08200|Très satisfaisant|23 AVENUE DES MARTYRS. DE LA RESISTANCE|08409001|49.700002|4.930469
Autres|Restaurant|Aléria|91255888900016|A L'ORTU DI ROTTANI|22-075846-1|[42.130957, 9.464636]|Restaurant|2022-09-13T02:00:00+02:00|20270|Satisfaisant|80 CHE DE ROTANI||42.130957|9.464636
Autres|Restauration collective|Cholet|20003163100068|EHPAD LA CORMETIERE|22-075840-1|[47.048434, -0.880185]|Restauration collective|2022-09-27T02:00:00+02:00|49300|Satisfaisant|3 RUE JULES LADOUMEGUE||47.048434|-0.880185
Autres|Restaurant|Paris 11e  Arrondissement|81085056000014|NOVE|22-018035-1|[48.852568, 2.374176]|Restaurant|2022-03-10T01:00:00+01:00|75011|Satisfaisant|9 RUE DE CHARONNE||48.852568|2.374176
Autres|Restaurant|Angers|91808945900013|KAWAMANGA|22-087401-1|[47.474061, -0.5597639999999999]|Restaurant|2022-10-28T02:00:00+02:00|49100|Satisfaisant|25 RUE BEAUREPAIRE||47.474061|-0.5597639999999999
